track,track_code,race_no,minutes_before,target_time,started_at,finished_at,status,returncode
saga,32,1,30,2026-09-21T16:05:00+09:00,2026-09-21T16:05:00.000564+09:00,2026-09-21T16:05:03.629522+09:00,success,0
saga,32,1,15,2026-09-21T16:20:00+09:00,2026-09-21T16:21:52.825033+09:00,2026-09-21T16:21:54.524218+09:00,success,0
saga,32,1,10,2026-09-21T16:25:00+09:00,2026-09-21T16:25:00.000756+09:00,2026-09-21T16:25:03.740321+09:00,success,0
saga,32,2,10,2026-09-21T16:55:00+09:00,2026-09-21T16:55:41.429448+09:00,2026-09-21T16:55:42.671735+09:00,success,0
saga,32,2,5,2026-09-21T17:00:00+09:00,2026-09-21T17:00:00.000545+09:00,2026-09-21T17:00:00.926487+09:00,success,0
saga,32,3,15,2026-09-21T17:20:00+09:00,2026-09-21T17:20:00.000584+09:00,2026-09-21T17:20:02.810959+09:00,success,0
saga,32,3,10,2026-09-21T17:25:00+09:00,2026-09-21T17:25:00.000513+09:00,2026-09-21T17:25:03.191615+09:00,success,0
saga,32,3,5,2026-09-21T17:30:00+09:00,2026-09-21T17:30:00.000506+09:00,2026-09-21T17:30:03.709382+09:00,success,0
saga,32,3,2,2026-09-21T17:33:00+09:00,2026-09-21T17:33:00.000500+09:00,2026-09-21T17:33:03.456527+09:00,success,0
saga,32,4,30,2026-09-21T17:40:00+09:00,2026-09-21T17:40:00.000502+09:00,2026-09-21T17:40:00.961526+09:00,success,0
saga,32,4,15,2026-09-21T17:55:00+09:00,2026-09-21T17:55:00.000614+09:00,2026-09-21T17:55:03.365814+09:00,success,0
saga,32,4,10,2026-09-21T18:00:00+09:00,2026-09-21T18:00:00.000540+09:00,2026-09-21T18:00:03.644273+09:00,success,0
saga,32,4,5,2026-09-21T18:05:00+09:00,2026-09-21T18:05:00.000496+09:00,2026-09-21T18:05:01.702000+09:00,success,0
saga,32,4,2,2026-09-21T18:08:00+09:00,2026-09-21T18:08:00.000455+09:00,2026-09-21T18:08:01.950426+09:00,success,0
saga,32,5,15,2026-09-21T18:30:00+09:00,2026-09-21T18:30:00.000581+09:00,2026-09-21T18:30:02.672240+09:00,success,0
saga,32,5,10,2026-09-21T18:35:00+09:00,2026-09-21T18:35:00.000545+09:00,2026-09-21T18:35:02.735430+09:00,success,0
saga,32,5,5,2026-09-21T18:40:00+09:00,2026-09-21T18:40:00.000483+09:00,2026-09-21T18:40:02.870157+09:00,success,0
saga,32,5,2,2026-09-21T18:43:00+09:00,2026-09-21T18:43:00.000471+09:00,2026-09-21T18:43:01.416884+09:00,success,0
saga,32,6,30,2026-09-21T18:45:00+09:00,2026-09-21T18:45:00.000467+09:00,2026-09-21T18:45:02.962836+09:00,success,0
saga,32,6,10,2026-09-21T19:05:00+09:00,2026-09-21T19:05:56.061134+09:00,2026-09-21T19:05:57.313246+09:00,success,0
saga,32,6,5,2026-09-21T19:10:00+09:00,2026-09-21T19:10:00.000513+09:00,2026-09-21T19:10:03.314699+09:00,success,0
saga,32,6,2,2026-09-21T19:13:00+09:00,2026-09-21T19:13:00.000497+09:00,2026-09-21T19:13:02.200476+09:00,success,0
saga,32,7,30,2026-09-21T19:15:00+09:00,2026-09-21T19:15:00.000538+09:00,2026-09-21T19:15:02.422986+09:00,success,0
saga,32,7,15,2026-09-21T19:30:00+09:00,2026-09-21T19:30:00.000539+09:00,2026-09-21T19:30:01.636134+09:00,success,0
saga,32,7,10,2026-09-21T19:35:00+09:00,2026-09-21T19:35:00.000535+09:00,2026-09-21T19:35:02.084251+09:00,success,0
saga,32,8,30,2026-09-21T19:50:00+09:00,2026-09-21T19:50:00.000606+09:00,2026-09-21T19:50:02.117316+09:00,success,0
saga,32,8,15,2026-09-21T20:05:00+09:00,2026-09-21T20:05:00.000554+09:00,2026-09-21T20:05:01.670898+09:00,success,0
saga,32,9,30,2026-09-21T20:20:00+09:00,2026-09-21T20:21:07.729003+09:00,2026-09-21T20:21:09.212754+09:00,success,0
saga,32,9,15,2026-09-21T20:35:00+09:00,2026-09-21T20:35:00.000515+09:00,2026-09-21T20:35:01.753141+09:00,success,0
saga,32,9,10,2026-09-21T20:40:00+09:00,2026-09-21T20:40:00.000413+09:00,2026-09-21T20:40:02.746724+09:00,success,0
