race_date,track,track_code,race_no,start_time
2026-09-27,kochi,31,1,14:55
2026-09-27,kochi,31,2,15:30
2026-09-27,kochi,31,3,16:00
2026-09-27,saga,32,1,16:25
2026-09-27,kochi,31,4,16:35
2026-09-27,saga,32,2,16:55
2026-09-27,kochi,31,5,17:05
2026-09-27,saga,32,3,17:30
2026-09-27,kochi,31,6,17:40
2026-09-27,saga,32,4,18:05
2026-09-27,kochi,31,7,18:15
2026-09-27,saga,32,5,18:40
2026-09-27,kochi,31,8,18:45
2026-09-27,saga,32,6,19:10
2026-09-27,kochi,31,9,19:20
2026-09-27,saga,32,7,19:40
2026-09-27,kochi,31,10,19:50
2026-09-27,saga,32,8,20:10
2026-09-27,kochi,31,11,20:20
2026-09-27,saga,32,9,20:40
2026-09-27,kochi,31,12,20:50
