captured_at,source_time,race_date,track,race_no,bet_type,combination,odds_low,odds_high,popularity,source_url
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,1-4,3.9,8.6,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,3-6,4.0,8.1,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,1-3,5.5,11.5,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,6-7,6.4,13.1,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,1-7,7.9,16.4,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,5-6,8.6,17.2,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,2-4,9.3,11.0,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,2-3,11.0,12.6,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,2-7,12.9,14.6,13,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,1-5,13.8,28.5,14,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,3-4,14.2,15.4,15,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,2-5,23.0,25.7,16,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,4-5,27.0,28.8,17,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,4-7,34.3,36.8,18,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,3-7,35.5,37.0,19,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:41:51,13:41,2026-09-20,saga,1,ワイド,5-7,42.0,43.0,20,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
