race_date,track,race_no,start_time,minutes_before,target_time,captured_at,capture_launch_time,offset_seconds,source_time,bet_type,combination,odds_low,odds_high,popularity,status,source_file,source_url
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,6-9-14,231.6,231.6,69,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-10-11,3118.6,3118.6,251,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-10-12,844.6,844.6,151,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-10-13,1930.5,1930.5,216,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-10-14,55.3,55.3,20,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-11-12,5791.7,5791.7,315,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-11-13,8108.4,8108.4,342,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-11-14,1126.1,1126.1,171,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-12-13,8108.4,8108.4,342,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-12-14,324.3,324.3,85,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-13-14,675.7,675.7,127,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-8-10,1559.3,1559.3,201,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-8-11,6757.0,6757.0,331,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-8-12,4054.2,4054.2,279,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
