captured_at,source_time,race_date,track,race_no,minutes_before,bet_type,combination,odds_low,odds_high,popularity,source_url
2026-09-24 18:15:00,18:14,2026-09-24,urawa,10,5,馬連,5-12,3.4,3.4,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=18&k_raceDate=2026%2F09%2F24&k_raceNo=10
2026-09-24 18:15:00,18:14,2026-09-24,urawa,10,5,馬連,5-8,5.0,5.0,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=18&k_raceDate=2026%2F09%2F24&k_raceNo=10
2026-09-24 18:15:00,18:14,2026-09-24,urawa,10,5,馬連,4-5,10.5,10.5,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=18&k_raceDate=2026%2F09%2F24&k_raceNo=10
2026-09-24 18:15:00,18:14,2026-09-24,urawa,10,5,馬連,5-10,10.5,10.5,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=18&k_raceDate=2026%2F09%2F24&k_raceNo=10
2026-09-24 18:15:00,18:14,2026-09-24,urawa,10,5,馬連,8-12,15.6,15.6,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=18&k_raceDate=2026%2F09%2F24&k_raceNo=10
2026-09-24 18:15:00,18:14,2026-09-24,urawa,10,5,馬連,5-11,17.1,17.1,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=18&k_raceDate=2026%2F09%2F24&k_raceNo=10
2026-09-24 18:15:00,18:14,2026-09-24,urawa,10,5,馬連,5-7,21.0,21.0,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=18&k_raceDate=2026%2F09%2F24&k_raceNo=10
2026-09-24 18:15:00,18:14,2026-09-24,urawa,10,5,馬連,1-5,33.0,33.0,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=18&k_raceDate=2026%2F09%2F24&k_raceNo=10
2026-09-24 18:15:00,18:14,2026-09-24,urawa,10,5,馬連,3-5,34.0,34.0,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=18&k_raceDate=2026%2F09%2F24&k_raceNo=10
2026-09-24 18:15:00,18:14,2026-09-24,urawa,10,5,馬連,2-5,36.8,36.8,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=18&k_raceDate=2026%2F09%2F24&k_raceNo=10
2026-09-24 18:15:00,18:14,2026-09-24,urawa,10,5,馬連,4-12,37.3,37.3,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=18&k_raceDate=2026%2F09%2F24&k_raceNo=10
2026-09-24 18:15:00,18:14,2026-09-24,urawa,10,5,馬連,10-12,39.3,39.3,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=18&k_raceDate=2026%2F09%2F24&k_raceNo=10
2026-09-24 18:15:00,18:14,2026-09-24,urawa,10,5,馬連,5-6,43.4,43.4,13,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=18&k_raceDate=2026%2F09%2F24&k_raceNo=10
