track,track_code,race_no,minutes_before,target_time,started_at,finished_at,status,returncode
urawa,18,1,30,2026-09-24T13:00:00+09:00,2026-09-24T13:00:00.000459+09:00,2026-09-24T13:00:04.789443+09:00,success,0
urawa,18,1,15,2026-09-24T13:15:00+09:00,2026-09-24T13:15:00.000628+09:00,2026-09-24T13:15:02.967641+09:00,success,0
urawa,18,1,10,2026-09-24T13:20:00+09:00,2026-09-24T13:20:00.000562+09:00,2026-09-24T13:20:03.308405+09:00,success,0
urawa,18,1,5,2026-09-24T13:25:00+09:00,2026-09-24T13:25:00.000569+09:00,2026-09-24T13:25:00.936058+09:00,success,0
urawa,18,1,2,2026-09-24T13:28:00+09:00,2026-09-24T13:28:00.000537+09:00,2026-09-24T13:28:03.593583+09:00,success,0
urawa,18,2,30,2026-09-24T13:30:00+09:00,2026-09-24T13:30:00.000447+09:00,2026-09-24T13:30:02.331045+09:00,success,0
urawa,18,2,15,2026-09-24T13:45:00+09:00,2026-09-24T13:45:00.000572+09:00,2026-09-24T13:45:03.755022+09:00,success,0
urawa,18,2,10,2026-09-24T13:50:00+09:00,2026-09-24T13:50:00.000498+09:00,2026-09-24T13:50:02.103658+09:00,success,0
urawa,18,2,5,2026-09-24T13:55:00+09:00,2026-09-24T13:55:00.000442+09:00,2026-09-24T13:55:03.428593+09:00,success,0
urawa,18,2,2,2026-09-24T13:58:00+09:00,2026-09-24T13:58:00.000539+09:00,2026-09-24T13:58:03.761727+09:00,success,0
urawa,18,3,30,2026-09-24T14:00:00+09:00,2026-09-24T14:00:00.000463+09:00,2026-09-24T14:00:04.975153+09:00,success,0
urawa,18,3,15,2026-09-24T14:15:00+09:00,2026-09-24T14:15:00.000454+09:00,2026-09-24T14:15:02.940222+09:00,success,0
urawa,18,3,5,2026-09-24T14:25:00+09:00,2026-09-24T14:25:49.415458+09:00,2026-09-24T14:25:50.563813+09:00,success,0
urawa,18,3,2,2026-09-24T14:28:00+09:00,2026-09-24T14:28:00.000431+09:00,2026-09-24T14:28:02.934432+09:00,success,0
urawa,18,4,30,2026-09-24T14:30:00+09:00,2026-09-24T14:30:00.000434+09:00,2026-09-24T14:30:03.281244+09:00,success,0
urawa,18,4,15,2026-09-24T14:45:00+09:00,2026-09-24T14:45:00.000398+09:00,2026-09-24T14:45:02.943447+09:00,success,0
urawa,18,4,10,2026-09-24T14:50:00+09:00,2026-09-24T14:50:00.000574+09:00,2026-09-24T14:50:05.378597+09:00,success,0
urawa,18,4,5,2026-09-24T14:55:00+09:00,2026-09-24T14:55:00.000492+09:00,2026-09-24T14:55:03.070375+09:00,success,0
urawa,18,4,2,2026-09-24T14:58:00+09:00,2026-09-24T14:58:00.000475+09:00,2026-09-24T14:58:02.357460+09:00,success,0
urawa,18,5,30,2026-09-24T15:00:00+09:00,2026-09-24T15:00:00.000462+09:00,2026-09-24T15:00:03.794102+09:00,success,0
urawa,18,5,15,2026-09-24T15:15:00+09:00,2026-09-24T15:15:00.000634+09:00,2026-09-24T15:15:03.094554+09:00,success,0
urawa,18,5,10,2026-09-24T15:20:00+09:00,2026-09-24T15:20:00.000511+09:00,2026-09-24T15:20:03.185320+09:00,success,0
urawa,18,5,5,2026-09-24T15:25:00+09:00,2026-09-24T15:25:00.000548+09:00,2026-09-24T15:25:03.355113+09:00,success,0
urawa,18,5,2,2026-09-24T15:28:00+09:00,2026-09-24T15:28:00.000511+09:00,2026-09-24T15:28:01.928734+09:00,success,0
urawa,18,6,30,2026-09-24T15:30:00+09:00,2026-09-24T15:30:00.000487+09:00,2026-09-24T15:30:03.624498+09:00,success,0
urawa,18,6,15,2026-09-24T15:45:00+09:00,2026-09-24T15:45:00.000642+09:00,2026-09-24T15:45:02.653542+09:00,success,0
urawa,18,6,10,2026-09-24T15:50:00+09:00,2026-09-24T15:50:00.000519+09:00,2026-09-24T15:50:03.572078+09:00,success,0
urawa,18,6,5,2026-09-24T15:55:00+09:00,2026-09-24T15:55:00.000473+09:00,2026-09-24T15:55:03.849090+09:00,success,0
urawa,18,6,2,2026-09-24T15:58:00+09:00,2026-09-24T15:58:00.000463+09:00,2026-09-24T15:58:02.560741+09:00,success,0
urawa,18,7,30,2026-09-24T16:05:00+09:00,2026-09-24T16:05:00.000533+09:00,2026-09-24T16:05:03.519991+09:00,success,0
urawa,18,7,15,2026-09-24T16:20:00+09:00,2026-09-24T16:21:06.070374+09:00,2026-09-24T16:21:07.110431+09:00,success,0
urawa,18,7,10,2026-09-24T16:25:00+09:00,2026-09-24T16:25:00.000594+09:00,2026-09-24T16:25:03.483754+09:00,success,0
urawa,18,7,5,2026-09-24T16:30:00+09:00,2026-09-24T16:30:00.000500+09:00,2026-09-24T16:30:01.631697+09:00,success,0
urawa,18,7,2,2026-09-24T16:33:00+09:00,2026-09-24T16:33:00.000450+09:00,2026-09-24T16:33:01.889329+09:00,success,0
urawa,18,8,30,2026-09-24T16:40:00+09:00,2026-09-24T16:40:00.000521+09:00,2026-09-24T16:40:00.817418+09:00,success,0
urawa,18,8,15,2026-09-24T16:55:00+09:00,2026-09-24T16:55:00.000609+09:00,2026-09-24T16:55:02.528272+09:00,success,0
urawa,18,8,10,2026-09-24T17:00:00+09:00,2026-09-24T17:00:00.000492+09:00,2026-09-24T17:00:03.178332+09:00,success,0
urawa,18,8,5,2026-09-24T17:05:00+09:00,2026-09-24T17:05:00.000575+09:00,2026-09-24T17:05:01.825201+09:00,success,0
urawa,18,8,2,2026-09-24T17:08:00+09:00,2026-09-24T17:08:00.000488+09:00,2026-09-24T17:08:02.698253+09:00,success,0
urawa,18,9,30,2026-09-24T17:15:00+09:00,2026-09-24T17:15:00.000448+09:00,2026-09-24T17:15:03.133637+09:00,success,0
urawa,18,9,15,2026-09-24T17:30:00+09:00,2026-09-24T17:30:00.000503+09:00,2026-09-24T17:30:02.969182+09:00,success,0
urawa,18,9,10,2026-09-24T17:35:00+09:00,2026-09-24T17:35:00.000431+09:00,2026-09-24T17:35:02.564194+09:00,success,0
urawa,18,9,5,2026-09-24T17:40:00+09:00,2026-09-24T17:40:00.000547+09:00,2026-09-24T17:40:02.392340+09:00,success,0
urawa,18,9,2,2026-09-24T17:43:00+09:00,2026-09-24T17:43:00.000469+09:00,2026-09-24T17:43:02.973910+09:00,success,0
urawa,18,10,30,2026-09-24T17:50:00+09:00,2026-09-24T17:50:00.000457+09:00,2026-09-24T17:50:01.963167+09:00,success,0
urawa,18,10,15,2026-09-24T18:05:00+09:00,2026-09-24T18:05:00.000553+09:00,2026-09-24T18:05:01.913997+09:00,success,0
urawa,18,10,10,2026-09-24T18:10:00+09:00,2026-09-24T18:10:00.000564+09:00,2026-09-24T18:10:02.454019+09:00,success,0
urawa,18,10,5,2026-09-24T18:15:00+09:00,2026-09-24T18:15:00.000601+09:00,2026-09-24T18:15:02.255325+09:00,success,0
urawa,18,10,2,2026-09-24T18:18:00+09:00,2026-09-24T18:18:00.000488+09:00,2026-09-24T18:18:01.948580+09:00,success,0
urawa,18,11,30,2026-09-24T18:25:00+09:00,2026-09-24T18:25:00.000467+09:00,2026-09-24T18:25:03.736599+09:00,success,0
urawa,18,11,15,2026-09-24T18:40:00+09:00,2026-09-24T18:40:00.000497+09:00,2026-09-24T18:40:02.628826+09:00,success,0
urawa,18,11,10,2026-09-24T18:45:00+09:00,2026-09-24T18:45:00.000481+09:00,2026-09-24T18:45:03.256432+09:00,success,0
urawa,18,11,5,2026-09-24T18:50:00+09:00,2026-09-24T18:50:00.000634+09:00,2026-09-24T18:50:03.959158+09:00,success,0
urawa,18,11,2,2026-09-24T18:53:00+09:00,2026-09-24T18:53:00.000467+09:00,2026-09-24T18:53:02.573041+09:00,success,0
urawa,18,12,30,2026-09-24T19:00:00+09:00,2026-09-24T19:00:00.000488+09:00,2026-09-24T19:00:02.869954+09:00,success,0
urawa,18,12,15,2026-09-24T19:15:00+09:00,2026-09-24T19:15:00.000432+09:00,2026-09-24T19:15:01.817038+09:00,success,0
urawa,18,12,10,2026-09-24T19:20:00+09:00,2026-09-24T19:20:00.000371+09:00,2026-09-24T19:20:02.900740+09:00,success,0
urawa,18,12,5,2026-09-24T19:25:00+09:00,2026-09-24T19:25:00.000520+09:00,2026-09-24T19:25:02.568740+09:00,success,0
urawa,18,12,2,2026-09-24T19:28:00+09:00,2026-09-24T19:28:00.000475+09:00,2026-09-24T19:28:03.350662+09:00,success,0
