track,track_code,race_no,minutes_before,target_time,started_at,finished_at,status,returncode
kochi,31,1,30,2026-09-26T15:05:00+09:00,2026-09-26T15:05:56.602058+09:00,2026-09-26T15:05:57.977638+09:00,success,0
kochi,31,1,15,2026-09-26T15:20:00+09:00,2026-09-26T15:20:00.000533+09:00,2026-09-26T15:20:03.737473+09:00,success,0
saga,32,1,30,2026-09-26T15:25:00+09:00,2026-09-26T15:25:00.000859+09:00,2026-09-26T15:25:02.273595+09:00,success,0
kochi,31,1,10,2026-09-26T15:25:00+09:00,2026-09-26T15:25:00.000434+09:00,2026-09-26T15:25:02.628002+09:00,success,0
