race_date,track,track_code,race_no,start_time
2026-09-22,urawa,18,2,14:00
2026-09-22,urawa,18,3,14:32
2026-09-22,urawa,18,4,15:02
2026-09-22,kochi,31,2,15:25
2026-09-22,urawa,18,5,15:30
2026-09-22,kochi,31,3,15:55
2026-09-22,urawa,18,6,16:00
2026-09-22,kochi,31,4,16:30
2026-09-22,urawa,18,7,16:35
2026-09-22,urawa,18,8,17:10
2026-09-22,kochi,31,5,17:15
2026-09-22,urawa,18,9,17:45
2026-09-22,kochi,31,6,17:50
2026-09-22,kochi,31,7,18:20
2026-09-22,urawa,18,10,18:20
2026-09-22,kochi,31,8,18:50
2026-09-22,urawa,18,11,18:55
2026-09-22,kochi,31,9,19:20
2026-09-22,urawa,18,12,19:30
2026-09-22,kochi,31,10,19:50
2026-09-22,kochi,31,11,20:20
2026-09-22,kochi,31,12,20:50
