track,track_code,race_no,minutes_before,target_time,started_at,finished_at,status,returncode
urawa,18,7,2,2026-09-22T16:33:00+09:00,2026-09-22T16:33:00.000428+09:00,2026-09-22T16:33:03.669923+09:00,success,0
urawa,18,8,30,2026-09-22T16:40:00+09:00,2026-09-22T16:40:00.000433+09:00,2026-09-22T16:40:04.864061+09:00,success,0
urawa,18,8,15,2026-09-22T16:55:00+09:00,2026-09-22T16:55:00.000489+09:00,2026-09-22T16:55:04.743729+09:00,success,0
kochi,31,5,15,2026-09-22T17:00:00+09:00,2026-09-22T17:00:00.000431+09:00,2026-09-22T17:00:05.974120+09:00,success,0
urawa,18,8,10,2026-09-22T17:00:00+09:00,2026-09-22T17:00:00.000652+09:00,2026-09-22T17:00:06.438820+09:00,success,0
kochi,31,5,10,2026-09-22T17:05:00+09:00,2026-09-22T17:05:00.000428+09:00,2026-09-22T17:05:04.507302+09:00,success,0
urawa,18,8,5,2026-09-22T17:05:00+09:00,2026-09-22T17:05:00.000601+09:00,2026-09-22T17:05:04.783983+09:00,success,0
urawa,18,8,2,2026-09-22T17:08:00+09:00,2026-09-22T17:08:00.000419+09:00,2026-09-22T17:08:03.014883+09:00,success,0
kochi,31,5,5,2026-09-22T17:10:00+09:00,2026-09-22T17:10:00.000422+09:00,2026-09-22T17:10:04.474363+09:00,success,0
kochi,31,5,2,2026-09-22T17:13:00+09:00,2026-09-22T17:13:00.000379+09:00,2026-09-22T17:13:03.405815+09:00,success,0
urawa,18,9,30,2026-09-22T17:15:00+09:00,2026-09-22T17:15:00.000599+09:00,2026-09-22T17:15:05.245977+09:00,success,0
kochi,31,6,30,2026-09-22T17:20:00+09:00,2026-09-22T17:20:00.000539+09:00,2026-09-22T17:20:06.008771+09:00,success,0
urawa,18,9,15,2026-09-22T17:30:00+09:00,2026-09-22T17:30:00.000517+09:00,2026-09-22T17:30:03.577886+09:00,success,0
kochi,31,6,15,2026-09-22T17:35:00+09:00,2026-09-22T17:35:00.000611+09:00,2026-09-22T17:35:03.834333+09:00,success,0
urawa,18,9,10,2026-09-22T17:35:00+09:00,2026-09-22T17:35:00.000919+09:00,2026-09-22T17:35:04.386430+09:00,success,0
urawa,18,9,5,2026-09-22T17:40:00+09:00,2026-09-22T17:40:00.000770+09:00,2026-09-22T17:40:05.097558+09:00,success,0
kochi,31,6,10,2026-09-22T17:40:00+09:00,2026-09-22T17:40:00.000533+09:00,2026-09-22T17:40:05.711542+09:00,success,0
